 ,Mean1,Mean2,Mean3,Mean4
1,115,72,149,89
2,90,73,184,90
3,109,86,149,86
4,117,77,164,77
5,91,81,163,85
6,108,81,166,74
7,93,75,130,72
8,104,87,177,90
9,94,88,179,101
10,112,71,166,78
11,105,86,162,89
12,113,68,151,89
13,107,81,166,71
14,108,102,176,74
15,120,70,184,88
16,102,85,142,91
17,114,83,184,93
18,93,82,175,110
19,91,74,173,85
20,114,87,161,87
21,102,88,159,98
22,129,74,173,105
23,98,88,159,88
24,99,79,142,89
25,110,90,174,90
26,112,78,159,85
27,106,99,155,95
28,130,80,174,90
29,102,71,176,88
30,95,74,163,78
31,108,88,142,71
32,111,73,160,80
33,122,102,166,78
34,95,85,162,95
35,108,81,193,95
36,112,74,166,85
37,110,77,174,90
38,110,82,155,72
39,117,73,150,107
40,108,74,170,88
41,114,90,130,77
42,93,82,199,89
43,108,71,153,68
44,119,86,172,76
45,102,78,193,74
46,120,90,157,80
47,107,70,164,73
48,107,73,174,80
49,107,77,144,70
50,119,91,187,95
51,88,98,159,64
52,117,90,157,83
53,124,80,184,93
54,129,78,159,88
55,102,79,162,79
56,105,89,152,89
57,103,68,161,110
58,90,90,161,100
59,104,80,174,93
60,130,68,155,65
61,89,82,161,93
62,112,78,142,88
63,91,74,193,91
64,110,75,168,93
65,102,81,153,81
66,114,87,157,87
67,102,98,159,91
68,119,95,139,74
69,115,71,149,74
70,130,89,161,82
71,115,89,162,86
72,93,82,120,86
73,139,91,180,85
74,110,72,179,89
75,92,99,173,88
76,112,81,170,88
77,112,74,180,98
78,89,79,155,72
79,93,89,130,82
80,110,82,192,113
81,129,81,146,91
82,87,83,140,80
83,87,73,164,80
84,105,91,142,98
85,96,89,129,89
86,105,88,142,95
87,99,72,165,86
88,108,81,183,61
89,106,62,168,89
90,113,82,168,93
91,103,72,186,62
92,82,72,155,89
93,103,75,168,93
94,110,82,165,72
95,91,85,173,98
96,95,81,170,98
97,117,90,150,87
98,88,74,159,68
99,92,69,152,79
100,98,81,153,74
101,134,80,144,114
102,91,78,163,108
103,98,75,166,81
104,92,79,168,89
105,91,88,163,91
106,110,73,167,80
107,107,70,187,67
108,112,88,142,102
109,102,85,173,95
110,110,55,161,82
111,104,87,171,83
112,82,82,141,72
113,130,87,140,77
114,95,64,187,68
115,96,72,141,79
116,110,68,151,86
117,109,69,162,96
118,96,72,162,89
119,107,58,143,88
120,112,88,173,88
121,105,81,183,88
122,127,53,140,90
123,125,76,168,86
124,96,72,182,115
125,119,78,197,91
126,127,68,192,103
127,112,74,170,81
128,102,81,156,88
129,104,90,161,87
130,115,81,159,102
131,139,81,146,102
132,99,103,165,82
133,108,61,146,88
134,90,77,167,93
135,102,85,163,88
136,122,88,166,68
137,105,76,162,76
138,106,92,180,95
139,110,89,165,82
140,91,74,170,102
141,137,90,201,80
142,117,107,187,93
143,99,72,172,72
144,102,71,149,74
145,110,93,130,96
146,90,80,154,93
147,99,86,144,93
148,90,97,167,73
149,115,81,156,85
150,108,91,153,88
151,129,88,159,91
152,106,77,134,92
153,110,75,155,82
154,112,71,153,108
155,125,88,163,85
156,112,71,163,74
157,103,82,161,75
158,99,99,182,93
159,107,87,150,114
160,105,74,173,88
161,102,71,159,74
162,117,89,161,89
163,93,93,172,96
164,95,81,129,81
165,112,81,166,98
166,96,62,165,93
167,99,72,175,96
168,102,78,183,91
169,119,81,166,81
170,110,86,172,89
171,91,98,193,88
172,102,68,159,91
173,102,78,166,71
174,120,89,179,93
175,124,86,168,79
176,99,88,187,77
177,91,81,166,78
178,119,88,163,57
179,82,89,148,86
180,108,88,163,91
181,115,74,139,102
182,98,78,183,74
183,117,68,155,93
184,106,81,159,81
185,107,83,164,97
186,132,78,149,108
187,112,98,153,74
188,124,65,144,93
189,98,71,197,112
190,113,77,148,92
191,115,95,153,74
192,113,93,172,103
193,93,87,140,87
194,114,80,167,90
195,87,87,130,83
196,112,88,159,98
197,117,70,147,90
198,90,87,174,97
199,117,80,171,97
200,76,72,142,69
