 ,Mean1,Mean2,Mean3,Mean4
1,92,86,165,72
2,99,89,215,89
3,91,68,150,78
4,89,92,139,89
5,114,81,166,71
6,114,73,144,97
7,105,79,155,69
8,86,76,152,92
9,129,49,162,86
10,107,67,150,67
11,130,90,161,83
12,139,79,139,86
13,117,62,134,75
14,140,68,215,91
15,96,82,139,102
16,114,78,137,78
17,121,73,133,86
18,163,75,156,88
19,97,90,143,87
20,109,80,148,90
21,114,101,163,68
22,115,96,172,76
23,102,62,129,76
24,114,88,156,101
25,101,71,163,101
26,107,81,163,78
27,98,88,147,107
28,129,92,152,99
29,106,83,164,77
30,83,77,164,103
31,87,97,164,94
32,107,81,150,91
33,125,74,161,77
34,112,66,149,66
35,139,69,158,62
36,115,76,152,69
37,124,88,156,68
38,120,104,171,97
39,112,71,148,90
40,99,76,149,76
41,119,76,139,92
42,124,88,150,98
43,114,62,183,71
44,92,82,132,72
45,99,72,165,76
46,119,79,192,79
47,140,63,130,90
48,107,83,150,90
49,120,87,154,67
50,109,82,178,92
51,101,98,156,117
52,83,97,197,104
53,101,81,156,75
54,120,62,143,101
55,115,86,139,86
56,96,76,158,92
57,117,63,167,90
58,104,71,153,101
59,107,60,177,104
60,104,93,167,107
61,129,96,165,96
62,104,68,147,55
63,137,87,174,77
64,88,78,134,88
65,127,77,184,100
66,109,82,178,105
67,88,65,170,88
68,94,85,137,75
69,120,71,134,71
70,107,90,137,80
71,134,77,144,77
72,125,82,162,82
73,107,88,163,88
74,112,86,205,82
75,107,81,183,91
76,91,81,183,111
77,86,76,172,76
78,88,68,156,91
79,80,80,164,74
80,87,80,150,93
81,112,79,149,69
82,89,86,152,92
83,99,72,178,89
84,75,62,186,88
85,114,110,177,83
86,91,88,176,71
87,122,99,145,82
88,83,73,144,70
89,127,63,140,93
90,108,68,183,112
91,91,54,153,95
92,97,90,174,80
93,73,63,177,83
94,110,83,134,60
95,109,76,129,69
96,92,79,165,82
97,91,81,170,105
98,110,93,184,93
99,101,69,136,66
100,134,68,170,91
101,93,100,151,106
102,108,91,146,61
103,110,93,144,83
104,102,72,139,79
105,95,71,132,88
106,112,85,142,64
107,90,76,164,94
108,104,93,161,93
109,102,89,195,82
110,76,89,185,76
111,91,78,108,71
112,115,68,146,81
113,110,70,167,77
114,110,90,100,87
115,117,107,144,67
116,88,85,130,101
117,109,69,202,89
118,112,64,146,64
119,149,76,142,72
120,98,65,134,107
121,101,101,173,88
122,105,91,142,102
123,108,97,171,48
124,98,78,153,91
125,127,65,143,104
126,96,89,165,119
127,125,74,148,77
128,98,101,150,101
129,108,76,139,80
130,102,86,172,92
131,87,73,177,90
132,100,67,120,110
133,87,80,146,73
134,109,66,165,89
135,92,89,188,86
136,81,105,166,81
137,125,92,142,62
138,140,75,140,78
139,101,101,129,87
140,129,52,182,62
141,111,78,166,62
142,93,93,158,90
143,89,52,155,86
144,115,102,162,89
145,94,76,174,87
146,124,94,130,78
147,85,85,183,71
148,129,75,151,94
149,102,72,149,72
150,96,87,164,87
151,85,75,185,100
152,112,82,139,72
153,85,58,176,58
154,142,72,192,62
155,98,108,132,91
156,102,60,156,82
157,135,87,158,109
158,113,75,160,85
159,107,92,150,98
160,129,79,168,62
161,130,85,163,81
162,101,85,147,98
163,101,75,163,94
164,90,100,144,90
165,88,62,137,71
166,110,90,130,73
167,99,74,166,85
168,92,99,158,89
169,101,75,150,88
170,88,81,137,114
171,100,67,171,100
172,99,62,129,79
173,107,75,153,81
174,94,97,181,94
175,119,79,119,89
176,105,92,152,89
177,145,59,152,76
178,119,82,172,72
179,119,92,158,89
180,99,86,145,79
181,100,64,183,71
182,109,66,175,76
183,89,76,182,92
184,105,92,129,129
185,117,80,181,90
186,98,75,163,101
187,122,89,142,92
188,111,78,124,81
189,107,104,153,94
190,112,90,151,112
191,105,85,176,105
192,73,83,167,77
193,89,79,139,79
194,99,102,139,66
195,107,104,174,87
196,120,87,134,90
197,109,72,152,89
198,92,86,162,76
199,95,64,204,85
200,100,70,221,77
201,92,72,158,79
202,97,93,134,93
203,114,73,167,87
204,112,78,180,85
205,102,81,132,71
206,102,96,149,89
207,125,68,166,74
208,96,66,115,96
209,140,63,167,70
210,88,68,170,85
211,104,70,147,77
212,94,91,160,88
213,87,93,180,74
214,108,85,142,95
215,112,82,139,72
216,89,86,165,82
217,109,66,125,96
218,111,68,160,91
219,86,86,145,92
220,132,66,149,89
221,93,70,144,90
222,92,92,158,59
223,114,77,140,83
224,109,82,162,99
225,73,77,171,83
226,111,65,163,85
227,112,62,158,92
228,125,76,162,96
229,101,88,147,75
230,105,64,159,88
231,109,69,162,96
232,97,93,134,104
233,109,82,165,76
234,110,87,184,110
235,104,104,187,73
236,115,91,204,68
237,89,100,132,75
238,104,70,154,73
239,108,87,195,94
240,86,98,156,95
241,93,83,147,90
242,102,85,159,91
243,87,63,167,73
244,97,83,134,60
245,107,70,154,90
246,98,71,192,65
247,82,72,192,86
248,93,87,184,77
249,112,109,192,86
250,122,85,166,95
251,109,59,172,96
252,154,70,154,93
253,104,107,177,90
254,105,69,168,79
255,119,79,172,99
256,110,104,134,73
257,112,89,149,86
258,102,92,125,99
259,125,92,155,82
260,79,89,158,99
261,112,71,153,95
262,86,102,175,86
263,87,69,192,83
264,92,76,168,105
265,101,76,157,80
266,87,83,161,93
267,99,59,165,69
268,114,78,137,104
269,134,107,167,107
270,109,79,165,99
271,90,73,144,77
272,102,72,158,86
273,114,81,124,101
274,98,91,136,78
275,96,72,185,82
276,96,77,135,90
277,107,88,124,81
278,127,58,137,91
279,114,90,144,83
280,115,95,163,78
281,110,70,144,83
282,97,90,117,60
283,100,60,134,80
284,98,65,137,98
285,110,100,174,83
286,79,76,155,125
287,119,72,132,82
288,102,72,149,89
289,102,72,149,76
290,92,76,155,112
291,114,83,147,83
292,102,85,122,95
293,91,95,159,88
294,108,91,159,68
295,80,93,177,67
296,108,69,171,94
297,89,102,165,82
298,92,82,172,86
299,108,74,136,74
300,104,77,157,100
