 ,Mean1,Mean2,Mean3,Mean4
1,55,48,93,48
2,51,41,81,46
3,55,39,80,47
4,54,43,92,41
5,47,47,73,42
6,51,39,100,42
7,65,41,80,42
8,50,42,79,40
9,57,45,85,43
10,57,41,82,50
11,56,36,79,40
12,64,40,81,52
13,58,49,90,42
14,57,47,70,47
15,61,39,85,44
16,56,43,82,36
17,52,37,76,50
18,53,40,78,40
19,56,39,88,48
20,63,42,80,51
21,58,40,86,43
22,56,44,73,47
23,49,41,93,39
24,53,36,90,45
25,64,39,87,43
26,54,37,88,43
27,50,43,88,44
28,53,43,80,47
29,61,47,87,45
30,64,42,84,45
31,58,49,77,51
32,57,46,80,43
33,63,39,79,41
34,60,43,79,42
35,61,40,93,41
36,50,41,79,43
37,50,42,86,39
38,45,36,84,46
39,51,45,75,37
40,46,42,85,46
41,55,43,81,49
42,46,40,84,44
43,57,39,104,45
44,54,43,73,44
45,63,42,85,50
46,63,41,90,44
47,53,36,80,45
48,57,41,80,47
49,64,43,78,42
50,60,43,91,43
51,59,44,84,43
52,65,36,80,39
53,45,43,86,44
54,56,44,85,51
55,64,35,85,40
56,57,38,95,45
57,54,43,84,36
58,54,36,84,45
59,55,43,79,41
60,46,42,79,54
61,55,39,88,45
62,58,48,88,46
63,56,46,78,48
64,66,44,80,43
65,50,36,81,49
66,63,47,90,41
67,59,46,88,45
68,58,39,76,45
69,50,43,81,46
70,53,39,78,43
71,51,40,80,51
72,56,45,81,44
73,57,36,87,50
74,49,51,96,49
75,63,37,75,39
76,60,45,87,46
77,53,40,84,41
78,64,45,90,48
79,60,42,85,35
80,58,46,85,51
81,56,38,68,43
82,56,40,76,44
83,59,34,71,39
84,53,39,80,47
85,60,47,80,51
86,54,46,81,50
87,47,45,91,39
88,59,36,86,50
89,50,43,92,43
90,56,41,88,42
91,51,36,87,50
92,62,45,80,50
93,52,45,82,53
94,58,46,71,46
95,54,45,87,48
96,49,40,73,43
97,68,47,80,49
98,69,38,95,56
99,51,45,86,54
100,50,43,85,52
101,61,39,85,48
102,50,42,92,45
103,63,46,92,58
104,52,50,90,40
105,57,41,78,49
106,42,42,82,48
107,54,44,84,50
108,60,37,79,43
109,53,41,95,45
110,49,44,84,48
111,56,44,79,40
112,58,33,87,43
113,58,44,82,50
114,47,40,76,54
115,65,48,90,45
116,54,39,80,53
117,60,44,76,43
118,51,39,80,40
119,51,39,87,49
120,59,46,87,47
